,沪深300,中证500,中证1000,大盘价值,小盘成长,恒生指数,中债国债总指数(7-10年)财富指数,南华工业品,标普500,纳斯达克100,布油,十年美债,沪金
2022-10-25,0.012111725,0.013103857,0.0143216625,0.011045093,0.012493975,0.010814828,0.0013807793,0.010261866,0.009675755,0.010475933,0.01640795,0.0032011638,0.007354325
2022-10-26,0.012208436,0.013170408,0.01444599,0.011278832,0.01245682,0.010810977,0.0013807793,0.010261866,0.009721106,0.010366542,0.016306264,0.0032011638,0.007364529
2022-10-27,0.012389586,0.013226313,0.014556775,0.01150658,0.012388958,0.010850461,0.0013807793,0.010261866,0.00983166,0.010327284,0.016391104,0.0032049147,0.00739734
2022-10-28,0.01254826,0.01334789,0.014605516,0.011616493,0.0123587195,0.010929508,0.0013807793,0.010261866,0.010101138,0.010389186,0.016648512,0.0032080575,0.0074353707
2022-10-31,0.012784049,0.013495374,0.014751712,0.01177606,0.012376315,0.011366051,0.0013807793,0.010261866,0.010716001,0.010584402,0.017300077,0.003207133,0.0075082965
2022-11-01,0.01302092,0.01357176,0.014959503,0.011973735,0.012629536,0.011840962,0.0013807793,0.010261866,0.011516333,0.010999094,0.018252367,0.0032027306,0.007586792
2022-11-02,0.013252641,0.013620377,0.015162616,0.012145808,0.012933267,0.012246236,0.0013807793,0.010261866,0.012293385,0.011367021,0.019297423,0.0032011638,0.007675534
2022-11-03,0.013196963,0.013747327,0.015283145,0.0123358,0.013099724,0.012284642,0.0013807793,0.010261866,0.012726154,0.011624776,0.019884916,0.0032011638,0.0077437507
2022-11-04,0.013058129,0.013903819,0.015366739,0.012507584,0.013235269,0.012417484,0.0013807793,0.010261866,0.013010953,0.0117999185,0.020300787,0.0032011638,0.0077339155
2022-11-07,0.013000352,0.014107481,0.015402839,0.01267872,0.013293742,0.012523593,0.0013807793,0.010261866,0.01321672,0.011878413,0.020513985,0.0032011638,0.007714759
2022-11-08,0.013064432,0.014385903,0.0155694,0.012815956,0.013400529,0.012642611,0.0013807793,0.010261866,0.013313191,0.011857952,0.020635473,0.0032011638,0.007696043
2022-11-09,0.01318694,0.014585306,0.015818125,0.013001554,0.013542151,0.012975865,0.0013807793,0.010261866,0.013501236,0.011877657,0.021022094,0.0032011638,0.00774279
2022-11-10,0.013197868,0.014638529,0.015869759,0.013264317,0.01365557,0.013271397,0.0013807793,0.010261866,0.013869016,0.012085078,0.02149802,0.0032011638,0.007867409
2022-11-11,0.013085256,0.014698804,0.01591022,0.013451073,0.013704121,0.013253028,0.0013807793,0.010261866,0.014030622,0.012298524,0.021613123,0.0032011638,0.008008
2022-11-14,0.012900747,0.014761846,0.015875813,0.013500733,0.01375508,0.013379792,0.0013807793,0.010261866,0.014307078,0.012644375,0.021781817,0.0032011638,0.0081610875
2022-11-15,0.012780184,0.014877238,0.01588685,0.013479561,0.014026264,0.013478141,0.0013807793,0.010261866,0.014483212,0.013096906,0.022056147,0.0032011638,0.0083544385
2022-11-16,0.012695331,0.014908354,0.015962545,0.013383442,0.0142713,0.013263701,0.0013807793,0.010261866,0.0141943,0.013469017,0.02223396,0.0032011638,0.008624984
2022-11-17,0.012593931,0.0149344215,0.016042225,0.013207926,0.01451011,0.013087226,0.0013807793,0.010261866,0.013677877,0.013595433,0.022349978,0.0032011638,0.008830102
2022-11-18,0.012428424,0.014901878,0.016046075,0.01302645,0.014697488,0.012988713,0.0013807793,0.010261866,0.01316169,0.0135487765,0.022341013,0.0032011638,0.008929539
2022-11-21,0.012193413,0.014944103,0.015976425,0.012793061,0.014678498,0.013053738,0.0013807793,0.010261866,0.012363474,0.013262174,0.022239253,0.0032011638,0.008823463
2022-11-22,0.012061687,0.015215743,0.016023053,0.0126970345,0.014804667,0.013203276,0.0013807793,0.010261866,0.01168447,0.012997212,0.022198789,0.0032011638,0.008755369
2022-11-23,0.0121548325,0.015669908,0.016151963,0.012644296,0.014891023,0.013296841,0.0013807793,0.010261866,0.011184751,0.012722697,0.02201968,0.0032011638,0.008663529
2022-11-24,0.012292953,0.016076615,0.016229983,0.012640378,0.014923489,0.013299794,0.0013807793,0.010261866,0.010680402,0.0123544,0.021669928,0.0032011638,0.008507201
2022-11-25,0.012405792,0.016354688,0.01625574,0.012584356,0.014813725,0.013230244,0.0013807793,0.010261866,0.010193583,0.0119321635,0.02122636,0.0032011638,0.008301012
2022-11-28,0.012609584,0.016671471,0.016354064,0.01240075,0.014922798,0.013049934,0.0013807793,0.010261866,0.009727123,0.011502408,0.020572465,0.0032011638,0.008088381
2022-11-29,0.012783363,0.01686966,0.016484186,0.012220139,0.014968673,0.01282745,0.0013807793,0.010261866,0.00934579,0.011023657,0.019775078,0.0032011638,0.0079768235
2022-11-30,0.012566951,0.016689513,0.016464604,0.011991998,0.014785302,0.012524936,0.0013807793,0.010261866,0.009095654,0.010703469,0.018936016,0.0032011638,0.007877891
2022-12-01,0.012147651,0.016320508,0.016427768,0.011718967,0.014623041,0.012251878,0.0013807793,0.010261866,0.008879881,0.010459737,0.018501813,0.0032011638,0.007779479
2022-12-02,0.011931593,0.01589115,0.016521871,0.011532267,0.014550934,0.01202248,0.0013807793,0.010261866,0.00872144,0.010211663,0.018381767,0.0032011638,0.0077005597
2022-12-05,0.01177465,0.015115649,0.016641174,0.011497606,0.014455194,0.01157371,0.0013807793,0.010261866,0.008743248,0.010072185,0.018152067,0.0032157563,0.00770675
2022-12-06,0.011647673,0.014233494,0.016710404,0.011435571,0.014409356,0.011209445,0.0013807793,0.010261866,0.0088009285,0.010031656,0.017729977,0.0032422724,0.007815318
2022-12-07,0.011910714,0.013593281,0.016767154,0.0113755595,0.014330067,0.010921562,0.0013807793,0.010261866,0.0089043975,0.010041803,0.01708749,0.0032652337,0.007968204
2022-12-08,0.012224476,0.013061761,0.016831646,0.011300528,0.014174372,0.0107071875,0.0013807793,0.010261866,0.008869369,0.010062886,0.016561942,0.0032805,0.008073268
2022-12-09,0.012313107,0.012633324,0.016827108,0.011163575,0.014000882,0.010599424,0.0013807793,0.010261866,0.008685808,0.010075192,0.01609052,0.0032835368,0.008213492
